;OptOmrNr;Optagelsesområder; Antal Optagne ;; Antal ansøgere ;;Adgangskvotient;
;;; optagne ; standby ; total ; 1. prioritet ;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
20;10110;Medicin, København Ø, Studiestart: sommer- og vinterstart; 650 ; 35 ; 3.698 ; 2.020 ;10,5;10,3
30;10115;Folkesundhedsvidenskab, København K, Studiestart: sommerstart; 78 ; 6 ; 262 ; 82 ;8,8;8,3
40;10117;Farmaci, København Ø, Studiestart: sommerstart; 250 ; 16 ; 883 ; 239 ;8,3;8,0
50;10120;Odontologi, København Ø, Studiestart: sommerstart; 100 ; 15 ; 1.217 ; 468 ;10,2;10,1
60;10140;Veterinærmedicin, Frederiksberg C, Studiestart: sommerstart; 192 ; 15 ; 966 ; 656 ;10,3;10,0
70;10150;Sundhed og informatik, København Ø, Studiestart: sommerstart; 56 ; 5 ; 201 ; 59 ;7,0;6,7
80;10160;Professionsbachelor, tandplejer, København N, Studiestart: sommerstart; 80 ; 7 ; 677 ; 256 ;9,1;9,0
90;10205;Biokemi, København Ø, Studiestart: sommerstart; 116 ; 8 ; 525 ; 85 ;7,3;6,7
100;10218;Datalogi-økonomi, København Ø, Studiestart: sommerstart; 98 ; 1 ; 353 ; 98 ;6,3;Alle optaget, ledige pladser
110;10220;Datalogi, København Ø, Studiestart: sommerstart; 218 ; -   ; 634 ; 203 ;Alle optaget, ledige pladser;
120;10221;Forsikringsmatematik, København Ø, Studiestart: sommerstart; 74 ; 8 ; 344 ; 161 ;10,7;10,1
130;10230;Fysik, København Ø, Studiestart: sommerstart; 145 ; -   ; 331 ; 162 ;6,5;Alle optaget, ledige pladser
140;10234;Bioteknologi, Frederiksberg C, Studiestart: sommerstart; 77 ; 7 ; 359 ; 69 ;7,2;6,4
150;10237;Husdyrvidenskab, Frederiksberg C, Studiestart: sommerstart; 67 ; 8 ; 202 ; 39 ;7,4;Alle optaget
160;10238;Miljø- og fødevareøkonomi, Frederiksberg C, Studiestart: sommerstart; 40 ; -   ; 118 ; 33 ;Alle optaget, ledige pladser;
170;10240;Landskabsarkitektur, Frederiksberg C, Studiestart: sommerstart; 74 ; 7 ; 224 ; 77 ;8,4;7,8
180;10242;Fødevarer og ernæring, Frederiksberg C, Studiestart: sommerstart; 102 ; -   ; 199 ; 97 ;Alle optaget;Alle optaget, ledige pladser
190;10244;Naturressourcer, Frederiksberg C, Studiestart: sommerstart; 61 ; -   ; 172 ; 56 ;Alle optaget, ledige pladser;
200;10246;Professionsbachelor, skov- og landskabsingeniør, Fredensborg, Studiestart: sommerstart; 50 ; 9 ; 143 ; 85 ;9,1;7,5
210;10247;Professionsbachelor, skov- og landskabsingeniør, Auning, Studiestart: sommerstart; 39 ; 3 ; 100 ; 59 ;7,9;Alle optaget, ledige pladser
220;10250;Biologi, København Ø, Studiestart: sommerstart; 197 ; 24 ; 678 ; 256 ;7,8;7,1
230;10270;Geografi og geoinformatik, København K, Studiestart: sommerstart; 93 ; -   ; 193 ; 95 ;Alle optaget, ledige pladser;
240;10275;Geologi-geoscience, København K, Studiestart: sommerstart; 36 ; -   ; 101 ; 39 ;Alle optaget, ledige pladser;
250;10285;Idræt og fysisk aktivitet, København Ø, Studiestart: sommerstart; 132 ; 10 ; 401 ; 183 ;7,3;6,7
260;10286;Kemi, København Ø, Studiestart: sommerstart; 48 ; -   ; 168 ; 49 ;6,1;Alle optaget, ledige pladser
270;10287;Matematik, København Ø, Studiestart: sommerstart; 152 ; -   ; 416 ; 148 ;Alle optaget;Alle optaget, ledige pladser
