;OptOmrNr;Optagelsesområder;Antal Optagne;;Antal ansøgere;;Adgangskvotient;
;;;optagne;standby;total;1. prioritet;kvote 1 kvotient;standby
10;;Københavns Universitet;;;;;;
20;10110;Medicin, København Ø, Studiestart: sommer- og vinterstart; 650 ; 25 ; 3.395 ; 1.823 ;10,5;10,4
30;10115;Folkesundhedsvidenskab, København K, Studiestart: sommerstart; 75 ; 6 ; 279 ; 91 ;9,1;8,5
40;10117;Farmaci, København Ø, Studiestart: sommerstart; 225 ; 15 ; 809 ; 192 ;7,9;7,5
50;10120;Odontologi, København Ø, Studiestart: sommerstart; 100 ; 12 ; 1.157 ; 422 ;10,3;10,2
60;10140;Veterinærmedicin, Frederiksberg C, Studiestart: sommerstart; 192 ; 8 ; 920 ; 627 ;10,4;10,3
70;10150;Sundhed og informatik, København Ø, Studiestart: sommerstart; 41 ;; 134 ; 29 ;Alle optaget, ledige pladser;
80;10160;Professionsbachelor, tandplejer, København N, Studiestart: sommerstart; 78 ; 5 ; 634 ; 243 ;9,0;8,9
90;10205;Biokemi, København Ø, Studiestart: sommerstart; 116 ; 8 ; 482 ; 95 ;7,7;7,1
100;10218;Datalogi-økonomi, København Ø, Studiestart: sommerstart; 88 ;; 304 ; 85 ;Alle optaget, ledige pladser;
110;10220;Datalogi, København Ø, Studiestart: sommerstart; 220 ;; 607 ; 233 ;6,0;Alle optaget, ledige pladser
120;10221;Forsikringsmatematik, København Ø, Studiestart: sommerstart; 74 ; 6 ; 346 ; 139 ;10,8;10,6
130;10230;Fysik, København Ø, Studiestart: sommerstart; 140 ;; 296 ; 152 ;6,3;Alle optaget, ledige pladser
140;10234;Bioteknologi, Frederiksberg C, Studiestart: sommerstart; 77 ; 5 ; 298 ; 61 ;6,9;Alle optaget, ledige pladser
150;10237;Husdyrvidenskab, Frederiksberg C, Studiestart: sommerstart; 60 ;; 134 ; 15 ;Alle optaget, ledige pladser;
160;10238;Miljø- og fødevareøkonomi, Frederiksberg C, Studiestart: sommerstart; 35 ;; 93 ; 34 ;Alle optaget, ledige pladser;
170;10240;Landskabsarkitektur, Frederiksberg C, Studiestart: sommerstart; 66 ; 5 ; 202 ; 75 ;8,9;8,4
180;10242;Fødevarer og ernæring, Frederiksberg C, Studiestart: sommerstart; 85 ;; 170 ; 87 ;Alle optaget, ledige pladser;
190;10244;Naturressourcer, Frederiksberg C, Studiestart: sommerstart; 47 ;; 138 ; 47 ;Alle optaget, ledige pladser;
200;10246;Professionsbachelor, skov- og landskabsingeniør, Fredensborg, Studiestart: sommerstart; 50 ; 2 ; 104 ; 59 ;7,4;Alle optaget, ledige pladser
210;10247;Professionsbachelor, skov- og landskabsingeniør, Auning, Studiestart: sommerstart; 27 ;; 71 ; 39 ;Alle optaget, ledige pladser;
220;10250;Biologi, København Ø, Studiestart: sommerstart; 197 ; 15 ; 633 ; 230 ;7,3;6,6
230;10270;Geografi og geoinformatik, København K, Studiestart: sommerstart; 71 ;; 156 ; 67 ;Alle optaget, ledige pladser;
240;10275;Geologi-geoscience, København K, Studiestart: sommerstart; 38 ;; 103 ; 42 ;Alle optaget, ledige pladser;
250;10285;Idræt og fysisk aktivitet, København Ø, Studiestart: sommerstart; 130 ; 8 ; 377 ; 165 ;7,1;6,4
260;10286;Kemi, København Ø, Studiestart: sommerstart; 35 ;; 134 ; 39 ;Alle optaget, ledige pladser;
270;10287;Matematik, København Ø, Studiestart: sommerstart; 119 ;; 315 ; 124 ;Alle optaget, ledige pladser;
